Bil,No. Kod Daerah Mengundi,`,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KHAIRUL ANUAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' SHAIFUL HAZIZY,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NURIN AINA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MOHD NAZRI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK MOSIN RAZAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
18,014/25/15,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA, SUNGAI PETANI",8,629,2,44,157,417,6,626,3,0,BUKIT RUSA ,UNDI BIASA,BUKIT RUSA 014/25/15
19,014/25/16,"SEKOLAH JENIS KEBANGSAAN (CINA) FUH SUN, BUKIT SELAMBAU",1,318,7,111,108,81,4,311,7,0,PEKAN BUKIT SELAMBAU ,UNDI BIASA,PEKAN BUKIT SELAMBAU 014/25/16
19,014/25/16,"SEKOLAH JENIS KEBANGSAAN (CINA) FUH SUN, BUKIT SELAMBAU",2,365,4,103,116,132,5,360,5,0,PEKAN BUKIT SELAMBAU ,UNDI BIASA,PEKAN BUKIT SELAMBAU 014/25/16
19,014/25/16,"SEKOLAH JENIS KEBANGSAAN (CINA) FUH SUN, BUKIT SELAMBAU",3,473,0,104,123,232,9,468,5,0,PEKAN BUKIT SELAMBAU ,UNDI BIASA,PEKAN BUKIT SELAMBAU 014/25/16
19,014/25/16,"SEKOLAH JENIS KEBANGSAAN (CINA) FUH SUN, BUKIT SELAMBAU",4,396,0,65,99,219,10,393,3,0,PEKAN BUKIT SELAMBAU ,UNDI BIASA,PEKAN BUKIT SELAMBAU 014/25/16
19,014/25/16,"SEKOLAH JENIS KEBANGSAAN (CINA) FUH SUN, BUKIT SELAMBAU",5,412,2,74,83,248,4,411,1,0,PEKAN BUKIT SELAMBAU ,UNDI BIASA,PEKAN BUKIT SELAMBAU 014/25/16
19,014/25/16,"SEKOLAH JENIS KEBANGSAAN (CINA) FUH SUN, BUKIT SELAMBAU",6,480,0,67,76,336,0,479,1,0,PEKAN BUKIT SELAMBAU ,UNDI BIASA,PEKAN BUKIT SELAMBAU 014/25/16
20,014/25/17,"SEKOLAH MENENGAH KEBANGSAAN BUKIT SELAMBAU, BUKIT SELAMBAU",1,361,4,150,30,171,2,357,4,0,KAMPUNG POKOK MACHANG ,UNDI BIASA,KAMPUNG POKOK MACHANG 014/25/17
20,014/25/17,"SEKOLAH MENENGAH KEBANGSAAN BUKIT SELAMBAU, BUKIT SELAMBAU",2,567,0,133,67,364,3,567,0,0,KAMPUNG POKOK MACHANG ,UNDI BIASA,KAMPUNG POKOK MACHANG 014/25/17
20,014/25/17,"SEKOLAH MENENGAH KEBANGSAAN BUKIT SELAMBAU, BUKIT SELAMBAU",3,583,0,90,44,441,7,582,1,0,KAMPUNG POKOK MACHANG ,UNDI BIASA,KAMPUNG POKOK MACHANG 014/25/17
21,014/25/18,"SEKOLAH KEBANGSAAN SERI WANGSA, SUNGAI PETANI",1,360,5,120,67,163,1,356,4,0,BATU BELACHAN ,UNDI BIASA,BATU BELACHAN 014/25/18
21,014/25/18,"SEKOLAH KEBANGSAAN SERI WANGSA, SUNGAI PETANI",2,459,0,99,38,319,2,458,1,0,BATU BELACHAN ,UNDI BIASA,BATU BELACHAN 014/25/18
22,014/25/19,"SEKOLAH KEBANGSAAN DATARAN MUDA, SUNGAI PETANI",1,361,11,86,52,195,7,351,10,0,TITI PANJANG ,UNDI BIASA,TITI PANJANG 014/25/19
22,014/25/19,"SEKOLAH KEBANGSAAN DATARAN MUDA, SUNGAI PETANI",2,541,0,94,31,409,3,537,4,0,TITI PANJANG ,UNDI BIASA,TITI PANJANG 014/25/19
23,014/25/20,"SEKOLAH KEBANGSAAN AMBANGAN HEIGHT, SUNGAI LALANG",1,365,1,97,81,166,16,361,4,0,AMBANGAN HEIGHT ,UNDI BIASA,AMBANGAN HEIGHT 014/25/20
23,014/25/20,"SEKOLAH KEBANGSAAN AMBANGAN HEIGHT, SUNGAI LALANG",2,593,0,94,139,335,21,589,4,0,AMBANGAN HEIGHT ,UNDI BIASA,AMBANGAN HEIGHT 014/25/20
23,014/25/20,"SEKOLAH KEBANGSAAN AMBANGAN HEIGHT, SUNGAI LALANG",3,582,1,74,130,368,9,582,0,0,AMBANGAN HEIGHT ,UNDI BIASA,AMBANGAN HEIGHT 014/25/20
23,014/25/20,"SEKOLAH KEBANGSAAN AMBANGAN HEIGHT, SUNGAI LALANG",4,507,0,58,141,299,5,503,4,0,AMBANGAN HEIGHT ,UNDI BIASA,AMBANGAN HEIGHT 014/25/20
23,014/25/20,"SEKOLAH KEBANGSAAN AMBANGAN HEIGHT, SUNGAI LALANG",5,457,2,44,129,272,10,457,0,0,AMBANGAN HEIGHT ,UNDI BIASA,AMBANGAN HEIGHT 014/25/20
23,014/25/20,"SEKOLAH KEBANGSAAN AMBANGAN HEIGHT, SUNGAI LALANG",6,511,0,49,121,333,6,509,2,0,AMBANGAN HEIGHT ,UNDI BIASA,AMBANGAN HEIGHT 014/25/20
23,014/25/20,"SEKOLAH KEBANGSAAN AMBANGAN HEIGHT, SUNGAI LALANG",7,552,0,34,130,382,4,550,2,0,AMBANGAN HEIGHT ,UNDI BIASA,AMBANGAN HEIGHT 014/25/20
23,014/25/20,"SEKOLAH KEBANGSAAN AMBANGAN HEIGHT, SUNGAI LALANG",8,575,0,56,111,403,4,574,1,0,AMBANGAN HEIGHT ,UNDI BIASA,AMBANGAN HEIGHT 014/25/20
23,014/25/20,"SEKOLAH KEBANGSAAN AMBANGAN HEIGHT, SUNGAI LALANG",9,576,1,40,102,424,5,572,4,0,AMBANGAN HEIGHT ,UNDI BIASA,AMBANGAN HEIGHT 014/25/20
24,014/25/21,KOLEJ VOKASIONAL SUNGAI PETANI 1,1,291,4,69,139,70,6,288,3,0,TAMAN RIA SELATAN ,UNDI BIASA,TAMAN RIA SELATAN 014/25/21
24,014/25/21,KOLEJ VOKASIONAL SUNGAI PETANI 1,2,365,4,76,131,146,4,361,4,0,TAMAN RIA SELATAN ,UNDI BIASA,TAMAN RIA SELATAN 014/25/21
24,014/25/21,KOLEJ VOKASIONAL SUNGAI PETANI 1,3,363,3,46,192,114,1,356,7,0,TAMAN RIA SELATAN ,UNDI BIASA,TAMAN RIA SELATAN 014/25/21
24,014/25/21,KOLEJ VOKASIONAL SUNGAI PETANI 1,4,523,2,50,329,137,4,522,1,0,TAMAN RIA SELATAN ,UNDI BIASA,TAMAN RIA SELATAN 014/25/21
24,014/25/21,KOLEJ VOKASIONAL SUNGAI PETANI 1,5,466,1,46,253,157,9,466,0,0,TAMAN RIA SELATAN ,UNDI BIASA,TAMAN RIA SELATAN 014/25/21
24,014/25/21,KOLEJ VOKASIONAL SUNGAI PETANI 1,6,444,1,44,189,196,13,443,1,0,TAMAN RIA SELATAN ,UNDI BIASA,TAMAN RIA SELATAN 014/25/21
24,014/25/21,KOLEJ VOKASIONAL SUNGAI PETANI 1,7,438,0,42,187,208,1,438,0,0,TAMAN RIA SELATAN ,UNDI BIASA,TAMAN RIA SELATAN 014/25/21
24,014/25/21,KOLEJ VOKASIONAL SUNGAI PETANI 1,8,492,2,29,244,209,7,491,1,0,TAMAN RIA SELATAN ,UNDI BIASA,TAMAN RIA SELATAN 014/25/21
24,014/25/21,KOLEJ VOKASIONAL SUNGAI PETANI 1,9,512,1,33,262,211,3,510,2,0,TAMAN RIA SELATAN ,UNDI BIASA,TAMAN RIA SELATAN 014/25/21
25,014/26/01,"MAKTAB RENDAH SAINS MARA, MERBOK",1,328,4,123,34,152,5,318,10,0,BUJANG ,UNDI BIASA,BUJANG 014/26/01
25,014/26/01,"MAKTAB RENDAH SAINS MARA, MERBOK",2,393,1,110,25,243,9,388,5,0,BUJANG ,UNDI BIASA,BUJANG 014/26/01
25,014/26/01,"MAKTAB RENDAH SAINS MARA, MERBOK",3,635,5,117,49,447,12,630,5,0,BUJANG ,UNDI BIASA,BUJANG 014/26/01
25,014/26/01,"MAKTAB RENDAH SAINS MARA, MERBOK",4,571,1,76,51,435,5,568,3,0,BUJANG ,UNDI BIASA,BUJANG 014/26/01
25,014/26/01,"MAKTAB RENDAH SAINS MARA, MERBOK",5,548,1,67,46,424,6,544,4,0,BUJANG ,UNDI BIASA,BUJANG 014/26/01
25,014/26/01,"MAKTAB RENDAH SAINS MARA, MERBOK",6,602,1,66,59,473,2,601,1,0,BUJANG ,UNDI BIASA,BUJANG 014/26/01
25,014/26/01,"MAKTAB RENDAH SAINS MARA, MERBOK",7,650,2,68,36,541,3,650,0,0,BUJANG ,UNDI BIASA,BUJANG 014/26/01
26,014/26/02,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN HWA, MERBOK",1,346,3,97,98,138,4,340,6,0,PEKAN SABTU MERBOK ,UNDI BIASA,PEKAN SABTU MERBOK 014/26/02
26,014/26/02,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN HWA, MERBOK",2,487,0,67,131,288,0,486,1,0,PEKAN SABTU MERBOK ,UNDI BIASA,PEKAN SABTU MERBOK 014/26/02
26,014/26/02,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN HWA, MERBOK",3,477,0,75,124,275,1,475,2,0,PEKAN SABTU MERBOK ,UNDI BIASA,PEKAN SABTU MERBOK 014/26/02
27,014/26/03,"SEKOLAH KEBANGSAAN MERBOK (PUSAT), MERBOK",1,379,1,98,15,259,0,373,6,0,SIMPANG TIGA PASIR ,UNDI BIASA,SIMPANG TIGA PASIR 014/26/03
27,014/26/03,"SEKOLAH KEBANGSAAN MERBOK (PUSAT), MERBOK",2,467,1,73,19,365,3,461,5,1,SIMPANG TIGA PASIR ,UNDI BIASA,SIMPANG TIGA PASIR 014/26/03
27,014/26/03,"SEKOLAH KEBANGSAAN MERBOK (PUSAT), MERBOK",3,431,1,34,27,366,2,430,1,0,SIMPANG TIGA PASIR ,UNDI BIASA,SIMPANG TIGA PASIR 014/26/03
27,014/26/03,"SEKOLAH KEBANGSAAN MERBOK (PUSAT), MERBOK",4,514,1,53,21,436,1,512,2,0,SIMPANG TIGA PASIR ,UNDI BIASA,SIMPANG TIGA PASIR 014/26/03
28,014/26/04,"SEKOLAH MENENGAH KEBANGSAAN MERBOK, MERBOK",1,361,3,99,51,194,7,354,7,0,PEKAN MERBOK ,UNDI BIASA,PEKAN MERBOK 014/26/04
28,014/26/04,"SEKOLAH MENENGAH KEBANGSAAN MERBOK, MERBOK",2,493,2,89,46,343,8,488,5,0,PEKAN MERBOK ,UNDI BIASA,PEKAN MERBOK 014/26/04
28,014/26/04,"SEKOLAH MENENGAH KEBANGSAAN MERBOK, MERBOK",3,499,0,61,36,397,4,498,1,0,PEKAN MERBOK ,UNDI BIASA,PEKAN MERBOK 014/26/04
29,014/26/05,"SEKOLAH KEBANGSAAN KAMPONG PASIR, MERBOK",1,376,3,132,13,215,1,364,12,0,KAMPUNG PASIR ,UNDI BIASA,KAMPUNG PASIR 014/26/05
29,014/26/05,"SEKOLAH KEBANGSAAN KAMPONG PASIR, MERBOK",2,366,0,64,15,282,3,364,2,0,KAMPUNG PASIR ,UNDI BIASA,KAMPUNG PASIR 014/26/05
29,014/26/05,"SEKOLAH KEBANGSAAN KAMPONG PASIR, MERBOK",3,387,0,54,17,315,0,386,1,0,KAMPUNG PASIR ,UNDI BIASA,KAMPUNG PASIR 014/26/05
30,014/26/06,"SEKOLAH KEBANGSAAN TANJONG DAWAI, TANJONG DAWAI",1,369,2,136,29,190,4,361,8,0,KAMPUNG HUMA ,UNDI BIASA,KAMPUNG HUMA 014/26/06
30,014/26/06,"SEKOLAH KEBANGSAAN TANJONG DAWAI, TANJONG DAWAI",2,427,2,85,26,304,8,425,2,0,KAMPUNG HUMA ,UNDI BIASA,KAMPUNG HUMA 014/26/06
30,014/26/06,"SEKOLAH KEBANGSAAN TANJONG DAWAI, TANJONG DAWAI",3,487,1,91,23,369,1,485,2,0,KAMPUNG HUMA ,UNDI BIASA,KAMPUNG HUMA 014/26/06
31,014/26/07,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG CHENG, TANJONG DAWAI",1,324,3,98,109,107,2,319,5,0,TANJONG DAWAI ,UNDI BIASA,TANJONG DAWAI 014/26/07
31,014/26/07,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG CHENG, TANJONG DAWAI",2,362,3,68,110,164,12,357,5,0,TANJONG DAWAI ,UNDI BIASA,TANJONG DAWAI 014/26/07
31,014/26/07,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG CHENG, TANJONG DAWAI",3,443,1,101,118,212,10,442,1,0,TANJONG DAWAI ,UNDI BIASA,TANJONG DAWAI 014/26/07
31,014/26/07,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG CHENG, TANJONG DAWAI",4,423,0,46,62,305,6,419,4,0,TANJONG DAWAI ,UNDI BIASA,TANJONG DAWAI 014/26/07
31,014/26/07,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG CHENG, TANJONG DAWAI",5,427,0,40,65,315,5,425,2,0,TANJONG DAWAI ,UNDI BIASA,TANJONG DAWAI 014/26/07
32,014/26/08,"SEKOLAH KEBANGSAAN BATU HAMPAR, KAMPUNG BATU HAMPAR",1,352,1,113,31,197,2,344,8,0,BATU HAMPAR ,UNDI BIASA,BATU HAMPAR 014/26/08
32,014/26/08,"SEKOLAH KEBANGSAAN BATU HAMPAR, KAMPUNG BATU HAMPAR",2,391,2,103,26,247,9,387,4,0,BATU HAMPAR ,UNDI BIASA,BATU HAMPAR 014/26/08
32,014/26/08,"SEKOLAH KEBANGSAAN BATU HAMPAR, KAMPUNG BATU HAMPAR",3,435,0,55,29,346,3,433,2,0,BATU HAMPAR ,UNDI BIASA,BATU HAMPAR 014/26/08
32,014/26/08,"SEKOLAH KEBANGSAAN BATU HAMPAR, KAMPUNG BATU HAMPAR",4,428,0,54,17,351,5,427,0,1,BATU HAMPAR ,UNDI BIASA,BATU HAMPAR 014/26/08
32,014/26/08,"SEKOLAH KEBANGSAAN BATU HAMPAR, KAMPUNG BATU HAMPAR",5,468,0,56,26,382,4,468,0,0,BATU HAMPAR ,UNDI BIASA,BATU HAMPAR 014/26/08
33,014/26/09,"SEKOLAH KEBANGSAAN HAJI OMAR TAHIR, PENGKALAN BUJANG",1,396,0,157,30,191,9,387,9,0,PENGKALAN BUJANG ,UNDI BIASA,PENGKALAN BUJANG 014/26/09
33,014/26/09,"SEKOLAH KEBANGSAAN HAJI OMAR TAHIR, PENGKALAN BUJANG",2,453,0,134,24,288,3,449,4,0,PENGKALAN BUJANG ,UNDI BIASA,PENGKALAN BUJANG 014/26/09
33,014/26/09,"SEKOLAH KEBANGSAAN HAJI OMAR TAHIR, PENGKALAN BUJANG",3,458,0,104,25,322,4,455,3,0,PENGKALAN BUJANG ,UNDI BIASA,PENGKALAN BUJANG 014/26/09
34,014/26/10,"SEKOLAH KEBANGSAAN SULTAN MUDZAFFAR SHAH, BUJANG",1,360,2,167,25,148,4,346,14,0,SUNGAI GELAM ,UNDI BIASA,SUNGAI GELAM 014/26/10
34,014/26/10,"SEKOLAH KEBANGSAAN SULTAN MUDZAFFAR SHAH, BUJANG",2,462,1,118,16,318,5,458,4,0,SUNGAI GELAM ,UNDI BIASA,SUNGAI GELAM 014/26/10
34,014/26/10,"SEKOLAH KEBANGSAAN SULTAN MUDZAFFAR SHAH, BUJANG",3,425,0,88,16,319,0,423,2,0,SUNGAI GELAM ,UNDI BIASA,SUNGAI GELAM 014/26/10
34,014/26/10,"SEKOLAH KEBANGSAAN SULTAN MUDZAFFAR SHAH, BUJANG",4,466,0,84,15,366,0,465,1,0,SUNGAI GELAM ,UNDI BIASA,SUNGAI GELAM 014/26/10
35,014/26/11,"SEKOLAH AGAMA DARIS, SUNGAI JAGUNG",1,370,4,119,45,191,6,365,5,0,SUNGAI JAGONG ,UNDI BIASA,SUNGAI JAGONG 014/26/11
35,014/26/11,"SEKOLAH AGAMA DARIS, SUNGAI JAGUNG",2,411,0,83,34,287,6,410,1,0,SUNGAI JAGONG ,UNDI BIASA,SUNGAI JAGONG 014/26/11
35,014/26/11,"SEKOLAH AGAMA DARIS, SUNGAI JAGUNG",3,360,1,46,29,271,10,357,3,0,SUNGAI JAGONG ,UNDI BIASA,SUNGAI JAGONG 014/26/11
35,014/26/11,"SEKOLAH AGAMA DARIS, SUNGAI JAGUNG",4,436,0,62,37,330,5,434,2,0,SUNGAI JAGONG ,UNDI BIASA,SUNGAI JAGONG 014/26/11
36,014/26/12,"SEKOLAH KEBANGSAAN SUNGAI LAYAR, SUNGAI PETANI",1,338,3,114,39,158,7,321,17,0,SUNGAI LAYAR ,UNDI BIASA,SUNGAI LAYAR 014/26/12
36,014/26/12,"SEKOLAH KEBANGSAAN SUNGAI LAYAR, SUNGAI PETANI",2,386,4,116,51,209,3,383,3,0,SUNGAI LAYAR ,UNDI BIASA,SUNGAI LAYAR 014/26/12
36,014/26/12,"SEKOLAH KEBANGSAAN SUNGAI LAYAR, SUNGAI PETANI",3,568,0,102,65,389,6,562,6,0,SUNGAI LAYAR ,UNDI BIASA,SUNGAI LAYAR 014/26/12
36,014/26/12,"SEKOLAH KEBANGSAAN SUNGAI LAYAR, SUNGAI PETANI",4,511,1,52,62,386,9,510,1,0,SUNGAI LAYAR ,UNDI BIASA,SUNGAI LAYAR 014/26/12
36,014/26/12,"SEKOLAH KEBANGSAAN SUNGAI LAYAR, SUNGAI PETANI",5,534,1,55,76,392,7,531,3,0,SUNGAI LAYAR ,UNDI BIASA,SUNGAI LAYAR 014/26/12
36,014/26/12,"SEKOLAH KEBANGSAAN SUNGAI LAYAR, SUNGAI PETANI",6,614,3,58,73,473,4,611,3,0,SUNGAI LAYAR ,UNDI BIASA,SUNGAI LAYAR 014/26/12
37,014/26/13,"SEKOLAH KEBANGSAAN SEMELING, SEMELING",1,333,4,114,98,105,4,325,8,0,SEMELING KANAN ,UNDI BIASA,SEMELING KANAN 014/26/13
37,014/26/13,"SEKOLAH KEBANGSAAN SEMELING, SEMELING",2,380,2,84,95,189,7,377,3,0,SEMELING KANAN ,UNDI BIASA,SEMELING KANAN 014/26/13
37,014/26/13,"SEKOLAH KEBANGSAAN SEMELING, SEMELING",3,476,1,96,36,336,4,473,3,0,SEMELING KANAN ,UNDI BIASA,SEMELING KANAN 014/26/13
37,014/26/13,"SEKOLAH KEBANGSAAN SEMELING, SEMELING",4,505,0,72,46,384,3,505,0,0,SEMELING KANAN ,UNDI BIASA,SEMELING KANAN 014/26/13
38,014/26/14,"SEKOLAH JENIS KEBANGSAAN (CINA) CHING CHONG, SEMELING",1,333,3,60,194,67,7,331,2,0,SEMELING KIRI ,UNDI BIASA,SEMELING KIRI 014/26/14
38,014/26/14,"SEKOLAH JENIS KEBANGSAAN (CINA) CHING CHONG, SEMELING",2,378,4,59,180,125,5,373,5,0,SEMELING KIRI ,UNDI BIASA,SEMELING KIRI 014/26/14
38,014/26/14,"SEKOLAH JENIS KEBANGSAAN (CINA) CHING CHONG, SEMELING",3,439,5,53,210,169,1,438,1,0,SEMELING KIRI ,UNDI BIASA,SEMELING KIRI 014/26/14
38,014/26/14,"SEKOLAH JENIS KEBANGSAAN (CINA) CHING CHONG, SEMELING",4,394,0,24,197,170,3,394,0,0,SEMELING KIRI ,UNDI BIASA,SEMELING KIRI 014/26/14
38,014/26/14,"SEKOLAH JENIS KEBANGSAAN (CINA) CHING CHONG, SEMELING",5,469,1,33,152,278,5,469,0,0,SEMELING KIRI ,UNDI BIASA,SEMELING KIRI 014/26/14
39,014/26/15,"SEKOLAH KEBANGSAAN SERI AMAN, BEDONG",1,289,8,65,156,52,4,285,4,0,KAMPUNG BEDONG ,UNDI BIASA,KAMPUNG BEDONG 014/26/15
39,014/26/15,"SEKOLAH KEBANGSAAN SERI AMAN, BEDONG",2,371,6,75,177,98,8,364,7,0,KAMPUNG BEDONG ,UNDI BIASA,KAMPUNG BEDONG 014/26/15
39,014/26/15,"SEKOLAH KEBANGSAAN SERI AMAN, BEDONG",3,531,5,88,199,224,5,521,10,0,KAMPUNG BEDONG ,UNDI BIASA,KAMPUNG BEDONG 014/26/15
39,014/26/15,"SEKOLAH KEBANGSAAN SERI AMAN, BEDONG",4,491,3,67,246,172,3,491,0,0,KAMPUNG BEDONG ,UNDI BIASA,KAMPUNG BEDONG 014/26/15
39,014/26/15,"SEKOLAH KEBANGSAAN SERI AMAN, BEDONG",5,474,0,52,203,214,3,472,2,0,KAMPUNG BEDONG ,UNDI BIASA,KAMPUNG BEDONG 014/26/15
39,014/26/15,"SEKOLAH KEBANGSAAN SERI AMAN, BEDONG",6,445,1,47,150,240,6,444,1,0,KAMPUNG BEDONG ,UNDI BIASA,KAMPUNG BEDONG 014/26/15
39,014/26/15,"SEKOLAH KEBANGSAAN SERI AMAN, BEDONG",7,490,2,38,148,300,1,489,1,0,KAMPUNG BEDONG ,UNDI BIASA,KAMPUNG BEDONG 014/26/15
39,014/26/15,"SEKOLAH KEBANGSAAN SERI AMAN, BEDONG",8,536,2,50,146,337,0,535,1,0,KAMPUNG BEDONG ,UNDI BIASA,KAMPUNG BEDONG 014/26/15
40,014/26/16,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI LAYAR, SUNGAI PETANI",1,367,2,66,126,158,12,364,2,1,TAMAN ORKID ,UNDI BIASA,TAMAN ORKID 014/26/16
40,014/26/16,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI LAYAR, SUNGAI PETANI",2,424,2,42,135,225,20,424,0,0,TAMAN ORKID ,UNDI BIASA,TAMAN ORKID 014/26/16
40,014/26/16,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI LAYAR, SUNGAI PETANI",3,402,1,32,129,232,8,402,0,0,TAMAN ORKID ,UNDI BIASA,TAMAN ORKID 014/26/16
40,014/26/16,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI LAYAR, SUNGAI PETANI",4,470,0,32,153,279,5,469,1,0,TAMAN ORKID ,UNDI BIASA,TAMAN ORKID 014/26/16
41,014/26/17,"SEKOLAH KEBANGSAAN TUAN SYED JAN
AL-JAFFRI, SUNGAI LAYAR",1,328,4,104,81,126,6,321,7,0,TAMAN SRI TANJONG ,UNDI BIASA,TAMAN SRI TANJONG 014/26/17
41,014/26/17,"SEKOLAH KEBANGSAAN TUAN SYED JAN
AL-JAFFRI, SUNGAI LAYAR",2,378,6,92,103,169,6,376,2,0,TAMAN SRI TANJONG ,UNDI BIASA,TAMAN SRI TANJONG 014/26/17
41,014/26/17,"SEKOLAH KEBANGSAAN TUAN SYED JAN
AL-JAFFRI, SUNGAI LAYAR",3,509,3,74,178,235,14,504,5,0,TAMAN SRI TANJONG ,UNDI BIASA,TAMAN SRI TANJONG 014/26/17
41,014/26/17,"SEKOLAH KEBANGSAAN TUAN SYED JAN
AL-JAFFRI, SUNGAI LAYAR",4,465,6,51,157,245,6,465,0,0,TAMAN SRI TANJONG ,UNDI BIASA,TAMAN SRI TANJONG 014/26/17
41,014/26/17,"SEKOLAH KEBANGSAAN TUAN SYED JAN
AL-JAFFRI, SUNGAI LAYAR",5,460,2,66,105,279,3,455,5,0,TAMAN SRI TANJONG ,UNDI BIASA,TAMAN SRI TANJONG 014/26/17
41,014/26/17,"SEKOLAH KEBANGSAAN TUAN SYED JAN
AL-JAFFRI, SUNGAI LAYAR",6,459,0,52,121,283,2,458,1,0,TAMAN SRI TANJONG ,UNDI BIASA,TAMAN SRI TANJONG 014/26/17
41,014/26/17,"SEKOLAH KEBANGSAAN TUAN SYED JAN
AL-JAFFRI, SUNGAI LAYAR",7,506,2,64,113,321,6,506,0,0,TAMAN SRI TANJONG ,UNDI BIASA,TAMAN SRI TANJONG 014/26/17
42,014/26/18,"SEKOLAH MENENGAH KEBANGSAAN IBRAHIM, SUNGAI PETANI",1,281,3,64,184,26,4,281,0,0,BUNGA RAYA ,UNDI BIASA,BUNGA RAYA 014/26/18
42,014/26/18,"SEKOLAH MENENGAH KEBANGSAAN IBRAHIM, SUNGAI PETANI",2,330,2,45,229,50,4,330,0,0,BUNGA RAYA ,UNDI BIASA,BUNGA RAYA 014/26/18
42,014/26/18,"SEKOLAH MENENGAH KEBANGSAAN IBRAHIM, SUNGAI PETANI",3,335,4,39,235,53,4,335,0,0,BUNGA RAYA ,UNDI BIASA,BUNGA RAYA 014/26/18
42,014/26/18,"SEKOLAH MENENGAH KEBANGSAAN IBRAHIM, SUNGAI PETANI",4,319,1,36,208,67,2,314,5,0,BUNGA RAYA ,UNDI BIASA,BUNGA RAYA 014/26/18
43,014/26/19,"SEKOLAH KEBANGSAAN IBRAHIM, SUNGAI PETANI",1,321,5,51,168,83,13,320,1,0,SEKOLAH IBRAHIM ,UNDI BIASA,SEKOLAH IBRAHIM 014/26/19
43,014/26/19,"SEKOLAH KEBANGSAAN IBRAHIM, SUNGAI PETANI",2,327,2,47,128,139,10,326,1,0,SEKOLAH IBRAHIM ,UNDI BIASA,SEKOLAH IBRAHIM 014/26/19
43,014/26/19,"SEKOLAH KEBANGSAAN IBRAHIM, SUNGAI PETANI",3,441,5,55,108,265,7,440,1,0,SEKOLAH IBRAHIM ,UNDI BIASA,SEKOLAH IBRAHIM 014/26/19
43,014/26/19,"SEKOLAH KEBANGSAAN IBRAHIM, SUNGAI PETANI",4,406,0,52,121,226,5,404,2,0,SEKOLAH IBRAHIM ,UNDI BIASA,SEKOLAH IBRAHIM 014/26/19
43,014/26/19,"SEKOLAH KEBANGSAAN IBRAHIM, SUNGAI PETANI",5,381,1,48,141,187,4,381,0,0,SEKOLAH IBRAHIM ,UNDI BIASA,SEKOLAH IBRAHIM 014/26/19
43,014/26/19,"SEKOLAH KEBANGSAAN IBRAHIM, SUNGAI PETANI",6,512,4,27,297,172,11,511,1,0,SEKOLAH IBRAHIM ,UNDI BIASA,SEKOLAH IBRAHIM 014/26/19
,,,,,,,,,,,,,,,
JUMLAH,JUMLAH,JUMLAH,232,103779,525,16691,31554,52573,1201,102544,1027,208,END,END,END